from,to,weight
S2,S138,0
S2,S139,0.5
S2,S140,0.2
S2,S141,0
S2,S142,0
S2,S143,0
S2,S145,0
S2,S146,0
S2,S147,0
S2,S148,0
S2,S149,0
S2,S151,0
S2,S152,0.33333333
S2,S153,1
S2,S154,0
S2,S155,0
S2,S156,0
S2,S158,1
S2,S160,0
S2,S163,0
S2,S165,0
S2,S166,0
S2,S167,0
S2,S169,0
S2,S170,0
S2,S172,0
S2,S174,0
S2,S178,0
S2,S180,0
S2,S181,1
S2,S182,1
S2,S183,0
S2,S184,0.07692308
S2,S186,0
S2,S187,0.125
S2,S188,0
S2,S189,0
S2,S190,0
S2,S193,0
S2,S194,0.08333333
S2,S195,0
S2,S197,0
S2,S198,0
S2,S201,0.25
S2,S202,0.2
S2,S203,0
S2,S204,0
S2,S206,0
S2,S208,0
S2,S209,0
S2,S210,0
S2,S212,0
S2,S214,0
S2,S216,0
S2,S218,0
S2,S220,0
S2,S221,0
S2,S222,0
S2,S223,0
S2,S224,0
S2,S225,0
S2,S227,0
S2,S229,0
S2,S230,0.5
S2,S231,0.5
S2,S232,0
S2,S234,0
S2,S235,0
S2,S239,0
S2,S242,0
S2,S243,0
S2,S244,0
S2,S245,0
S2,S246,0
S2,S247,0
S2,S253,0
S2,S254,0
S2,S255,0
S2,S256,0
S2,S257,0
S2,S261,0.25
S2,S262,0
S2,S264,0
S2,S265,0
S2,S266,0
S2,S267,0
S2,S268,0
S2,S269,0.125
S2,S270,0
S2,S271,0.2
S2,S274,0
S2,S275,0
S2,S276,0
S2,S277,0
S2,S278,0
S2,S280,0
S2,S281,0
S2,S282,0
S2,S284,0
S2,S285,0
S2,S286,0
S2,S287,0
S2,S288,0
S2,S293,0
S2,S294,0
S2,S295,1
S2,S297,0
S2,S298,0
S2,S299,0
S2,S300,0
S2,S302,0
S2,S303,0
S2,S304,0
S2,S305,0
S2,S306,0
S2,S308,0
S2,S310,0
S2,S311,0
S2,S313,0
S2,S316,0
S2,S317,0
S2,S318,0
S2,S319,0
S2,S320,0
S2,S321,0
S2,S324,0
S2,S325,0
S2,S326,0
S2,S327,0
S2,S329,0
S2,S331,0
S2,S332,0
S2,S333,0
S2,S334,0
S2,S335,0
S2,S336,0
S2,S337,0
S2,S338,0
S2,S339,0
S2,S340,0
S2,S342,0
S2,S344,0
S2,S345,0
S2,S346,0
S2,S348,0
S2,S349,0
S2,S352,0
S2,S354,0
S2,S357,0
S2,S358,0
S2,S359,0
S2,S360,0
S2,S361,0
S2,S362,0
S2,S363,0
S2,S365,0
S2,S366,0
S2,S367,0
S2,S368,0
S2,S370,0
S2,S371,0
S2,S373,0
S2,S374,0
S2,S375,0
S2,S376,0
S2,S377,0
S2,S378,0
S2,S381,0
S2,S384,0
S2,S386,0
S2,S387,0
S2,S388,0
S2,S389,0
S2,S390,0
S2,S391,0
S2,S392,1
S2,S393,0
S2,S394,0
S2,S395,0
S2,S397,0
S2,S399,0.25
S2,S400,0
S2,S401,0.5
S2,S402,0
S2,S404,0
S2,S405,0
S2,S406,0
S2,S407,0
S2,S411,0
S2,S412,0
S2,S413,0.25
S2,S414,0
S2,S415,0
S2,S416,0
S2,S417,0
S2,S418,1
S2,S419,0
S2,S421,0
S2,S422,0
S2,S423,0
S2,S424,0
S2,S425,0
S2,S426,0
S2,S427,0
S2,S428,0
S2,S429,0.16666667
S2,S431,0
S2,S432,0
S2,S433,0
S2,S434,0
S2,S435,0
S2,S436,0
S2,S437,0
S2,S439,0
S2,S440,0
S2,S442,0
S2,S444,0
S2,S445,0
S2,S446,0
S2,S447,0
S2,S448,0
S2,S449,0
S2,S450,0
S2,S453,0
S2,S456,0
S2,S459,0
S2,S461,0
S2,S462,0
S2,S466,0
S2,S467,0
S2,S468,0
S2,S469,0
S2,S470,0
S2,S471,0
S2,S472,0
S2,S473,0
S2,S474,0.25
S2,S475,0
S2,S478,0
S2,S479,0
S2,S480,0
S2,S481,0
S2,S482,0
S2,S483,0.5
S2,S484,0
S2,S486,0.16666667
S2,S487,0
S2,S488,0
S2,S489,0
S2,S490,0
S2,S495,0.5
S2,S496,0
S2,S499,0.25
S2,S500,0
S2,S502,0
S2,S505,0
S2,S506,0
S2,S507,0
S2,S508,0
S2,S510,0
S2,S511,0
S3,S4,0
S3,S5,0
S3,S6,0
S3,S7,0
S3,S8,0
S3,S10,0
S3,S12,0
S3,S13,0
S3,S15,0
S3,S16,0
S3,S17,0
S3,S18,0
S3,S20,0
S3,S21,0.16666667
S3,S22,0
S3,S23,0
