haplotype_ID,haplotypes_across_samples
1,172
2,123
3,133
4,161
5,113
6,122
7,47
8,46
9,39
10,37
11,22
12,69
13,8
14,4
15,51
16,11
17,2
18,6
19,14
20,6
21,8
22,4
23,8
24,2
25,6
26,1
27,1
28,12
29,3
30,1
31,1
32,1
33,1
34,1
35,1
36,1
37,1
38,1
39,1
40,1
41,1
42,1
43,1
44,1
45,1
46,1
