Haplotype.ID,Haplotypes.Across.Samples
1,83
2,72
3,53
4,50
5,46
6,38
7,28
8,18
9,29
10,21
11,17
12,12
13,17
14,14
15,27
16,11
17,19
18,8
19,7
20,5
21,10
22,6
23,4
24,8
25,8
26,13
27,3
28,22
29,11
30,8
31,9
32,2
33,3
34,8
35,4
36,5
37,10
38,2
39,6
40,31
41,5
42,27
43,2
44,1
45,2
46,5
47,2
48,1
49,1
50,13
51,4
52,1
53,3
54,1
55,4
56,4
57,5
58,1
59,1
60,1
61,3
62,1
63,2
64,3
65,1
66,3
67,1
68,1
69,1
70,1
71,1
72,2
73,1
74,1
75,1
76,1
77,1
78,1
79,1
80,1
81,1
82,1
83,1
84,1
85,1
86,1
87,1
88,1
89,1
