,reads.in,reads.out
S240_AMA_1.fastq.gz,40,15
S241_AMA_1.fastq.gz,14,12
S242_AMA_1.fastq.gz,23970,19892
S243_AMA_1.fastq.gz,17922,14558
S244_AMA_1.fastq.gz,43442,36160
S245_AMA_1.fastq.gz,23844,19391
S246_AMA_1.fastq.gz,4910,4054
S247_AMA_1.fastq.gz,18058,15229
S248_AMA_1.fastq.gz,27,11
S249_AMA_1.fastq.gz,22,8
S25_AMA_1.fastq.gz,57247,48990
S250_AMA_1.fastq.gz,53,18
S251_AMA_1.fastq.gz,59,5
S252_AMA_1.fastq.gz,2,1
S253_AMA_1.fastq.gz,6341,5189
S254_AMA_1.fastq.gz,31077,25074
S255_AMA_1.fastq.gz,20554,16218
S256_AMA_1.fastq.gz,32054,26537
S257_AMA_1.fastq.gz,17888,14388
S258_AMA_1.fastq.gz,7,2
S259_AMA_1.fastq.gz,22,12
S26_AMA_1.fastq.gz,36841,30841
S260_AMA_1.fastq.gz,18,11
S261_AMA_1.fastq.gz,21859,17191
S262_AMA_1.fastq.gz,31418,24896
S263_AMA_1.fastq.gz,7,1
S264_AMA_1.fastq.gz,9532,8108
S265_AMA_1.fastq.gz,22434,18641
S266_AMA_1.fastq.gz,21659,18307
S267_AMA_1.fastq.gz,27445,22423
S268_AMA_1.fastq.gz,15471,12550
S269_AMA_1.fastq.gz,13470,10905
S27_AMA_1.fastq.gz,40835,34812
S270_AMA_1.fastq.gz,16284,13352
S271_AMA_1.fastq.gz,18186,14757
S272_AMA_1.fastq.gz,21,18
S273_AMA_1.fastq.gz,20,8
S274_AMA_1.fastq.gz,20624,16660
S275_AMA_1.fastq.gz,10330,2823
S276_AMA_1.fastq.gz,10461,8548
S277_AMA_1.fastq.gz,16033,12714
S278_AMA_1.fastq.gz,9928,8313
S279_AMA_1.fastq.gz,19,5
S28_AMA_1.fastq.gz,41794,34872
S280_AMA_1.fastq.gz,18820,10156
S281_AMA_1.fastq.gz,17790,14978
S282_AMA_1.fastq.gz,13028,10882
S283_AMA_1.fastq.gz,9,6
S284_AMA_1.fastq.gz,7531,4829
S285_AMA_1.fastq.gz,13157,10684
S286_AMA_1.fastq.gz,25171,14195
S287_AMA_1.fastq.gz,10135,7940
S288_AMA_1.fastq.gz,4704,3669
S289_AMA_1.fastq.gz,17,10
S29_AMA_1.fastq.gz,13239,10749
S290_AMA_1.fastq.gz,7,5
S291_AMA_1.fastq.gz,7,2
S292_AMA_1.fastq.gz,26,20
S293_AMA_1.fastq.gz,6811,5637
S294_AMA_1.fastq.gz,8991,7545
S295_AMA_1.fastq.gz,5599,4735
S296_AMA_1.fastq.gz,23,18
S297_AMA_1.fastq.gz,12440,10060
S298_AMA_1.fastq.gz,29572,25031
S299_AMA_1.fastq.gz,9154,6003
S3_AMA_1.fastq.gz,18475,12335
S30_AMA_1.fastq.gz,63273,51892
S300_AMA_1.fastq.gz,18972,16177
S301_AMA_1.fastq.gz,42,7
S302_AMA_1.fastq.gz,13836,11882
S303_AMA_1.fastq.gz,14508,12293
S304_AMA_1.fastq.gz,3711,3129
S305_AMA_1.fastq.gz,14770,12372
S306_AMA_1.fastq.gz,10653,8678
S307_AMA_1.fastq.gz,5,4
S308_AMA_1.fastq.gz,10569,8884
S309_AMA_1.fastq.gz,11,7
S31_AMA_1.fastq.gz,35725,29601
S310_AMA_1.fastq.gz,21225,17633
S311_AMA_1.fastq.gz,9764,8242
S312_AMA_1.fastq.gz,5,4
S313_AMA_1.fastq.gz,15660,12697
S314_AMA_1.fastq.gz,7,2
S315_AMA_1.fastq.gz,3,1
S316_AMA_1.fastq.gz,12371,10449
S317_AMA_1.fastq.gz,15500,12968
S318_AMA_1.fastq.gz,24763,21093
S319_AMA_1.fastq.gz,245,202
S32_AMA_1.fastq.gz,47962,40174
S320_AMA_1.fastq.gz,15077,12746
S321_AMA_1.fastq.gz,15072,12297
S322_AMA_1.fastq.gz,23,14
S323_AMA_1.fastq.gz,4,1
S324_AMA_1.fastq.gz,5929,5039
S325_AMA_1.fastq.gz,14427,11498
S326_AMA_1.fastq.gz,15511,13068
S327_AMA_1.fastq.gz,11342,9711
S328_AMA_1.fastq.gz,20,15
S329_AMA_1.fastq.gz,11588,9168
S33_AMA_1.fastq.gz,47624,39484
S330_AMA_1.fastq.gz,46,30
S331_AMA_1.fastq.gz,10600,8570
S332_AMA_1.fastq.gz,9689,8146
S333_AMA_1.fastq.gz,19017,15491
S334_AMA_1.fastq.gz,18981,15701
S335_AMA_1.fastq.gz,21355,18072
S336_AMA_1.fastq.gz,16843,14094
S337_AMA_1.fastq.gz,22160,17866
S338_AMA_1.fastq.gz,13490,11190
S339_AMA_1.fastq.gz,15104,12576
S34_AMA_1.fastq.gz,7542,6426
S340_AMA_1.fastq.gz,14045,11895
S341_AMA_1.fastq.gz,11,8
S342_AMA_1.fastq.gz,15328,12381
S343_AMA_1.fastq.gz,9,8
S344_AMA_1.fastq.gz,22257,18631
S345_AMA_1.fastq.gz,15918,13132
S346_AMA_1.fastq.gz,22193,18347
S347_AMA_1.fastq.gz,12,7
S348_AMA_1.fastq.gz,18275,15015
S349_AMA_1.fastq.gz,10603,8198
S35_AMA_1.fastq.gz,22070,18440
S350_AMA_1.fastq.gz,4,2
S351_AMA_1.fastq.gz,3,3
S352_AMA_1.fastq.gz,4370,3591
S353_AMA_1.fastq.gz,2,2
S354_AMA_1.fastq.gz,11854,9781
S355_AMA_1.fastq.gz,4,0
S356_AMA_1.fastq.gz,7,4
S357_AMA_1.fastq.gz,3301,2108
S358_AMA_1.fastq.gz,12511,10320
S359_AMA_1.fastq.gz,15880,13171
S36_AMA_1.fastq.gz,21,14
S360_AMA_1.fastq.gz,11874,9687
S361_AMA_1.fastq.gz,14757,8534
S362_AMA_1.fastq.gz,9062,7256
S363_AMA_1.fastq.gz,7947,5892
S364_AMA_1.fastq.gz,28,6
S365_AMA_1.fastq.gz,40584,33921
S366_AMA_1.fastq.gz,27892,21666
S367_AMA_1.fastq.gz,9710,8024
S368_AMA_1.fastq.gz,4003,3389
S369_AMA_1.fastq.gz,27,12
S37_AMA_1.fastq.gz,1176,871
S370_AMA_1.fastq.gz,8652,7161
S371_AMA_1.fastq.gz,20767,17157
S372_AMA_1.fastq.gz,12,2
S373_AMA_1.fastq.gz,26919,22743
S374_AMA_1.fastq.gz,21630,17126
S375_AMA_1.fastq.gz,7492,6257
S376_AMA_1.fastq.gz,24744,21156
S377_AMA_1.fastq.gz,3377,2788
S378_AMA_1.fastq.gz,38505,31264
S379_AMA_1.fastq.gz,19,6
S38_AMA_1.fastq.gz,7,3
S380_AMA_1.fastq.gz,48,2
S381_AMA_1.fastq.gz,42959,37293
S382_AMA_1.fastq.gz,75,13
S383_AMA_1.fastq.gz,31,22
S384_AMA_1.fastq.gz,48250,41031
S385_AMA_1.fastq.gz,22,12
S386_AMA_1.fastq.gz,4178,3511
S387_AMA_1.fastq.gz,31371,26930
S388_AMA_1.fastq.gz,32812,27965
S389_AMA_1.fastq.gz,4458,3800
S39_AMA_1.fastq.gz,35,28
S390_AMA_1.fastq.gz,52697,45382
S391_AMA_1.fastq.gz,15579,13577
S392_AMA_1.fastq.gz,6406,5590
S393_AMA_1.fastq.gz,16804,14344
S394_AMA_1.fastq.gz,10806,9036
S395_AMA_1.fastq.gz,15465,12772
S396_AMA_1.fastq.gz,4,2
S397_AMA_1.fastq.gz,18150,15574
S398_AMA_1.fastq.gz,20,4
S399_AMA_1.fastq.gz,16332,13452
S4_AMA_1.fastq.gz,2614,2071
S40_AMA_1.fastq.gz,10,6
S400_AMA_1.fastq.gz,9675,8148
S401_AMA_1.fastq.gz,10515,8815
S402_AMA_1.fastq.gz,9574,7682
S403_AMA_1.fastq.gz,0,0
S404_AMA_1.fastq.gz,5206,4394
S405_AMA_1.fastq.gz,28065,23298
S406_AMA_1.fastq.gz,28342,23342
S407_AMA_1.fastq.gz,17836,14023
S408_AMA_1.fastq.gz,15,5
S409_AMA_1.fastq.gz,17,11
S41_AMA_1.fastq.gz,14,7
S410_AMA_1.fastq.gz,21,12
S411_AMA_1.fastq.gz,8399,6703
S412_AMA_1.fastq.gz,5094,2350
S413_AMA_1.fastq.gz,11454,6843
S414_AMA_1.fastq.gz,22745,14699
S415_AMA_1.fastq.gz,29210,21028
S416_AMA_1.fastq.gz,7150,5733
S417_AMA_1.fastq.gz,8969,7608
S418_AMA_1.fastq.gz,38649,32600
S419_AMA_1.fastq.gz,36579,31011
S42_AMA_1.fastq.gz,40283,33857
S420_AMA_1.fastq.gz,11,7
S421_AMA_1.fastq.gz,11729,9869
S422_AMA_1.fastq.gz,13351,10896
S423_AMA_1.fastq.gz,15137,12259
S424_AMA_1.fastq.gz,11374,9652
S425_AMA_1.fastq.gz,7855,6436
S426_AMA_1.fastq.gz,16410,13389
S427_AMA_1.fastq.gz,43552,36897
S428_AMA_1.fastq.gz,17890,14804
S429_AMA_1.fastq.gz,19572,16817
S43_AMA_1.fastq.gz,2,0
S430_AMA_1.fastq.gz,9,6
S431_AMA_1.fastq.gz,27776,23670
S432_AMA_1.fastq.gz,17375,14323
S433_AMA_1.fastq.gz,23246,20009
S434_AMA_1.fastq.gz,15136,12347
S435_AMA_1.fastq.gz,19824,16682
S436_AMA_1.fastq.gz,21681,18808
S437_AMA_1.fastq.gz,5380,4470
S438_AMA_1.fastq.gz,39,9
S439_AMA_1.fastq.gz,10549,8839
S44_AMA_1.fastq.gz,9,6
S440_AMA_1.fastq.gz,11960,10121
S441_AMA_1.fastq.gz,6,1
S442_AMA_1.fastq.gz,21969,18217
S443_AMA_1.fastq.gz,8,7
S444_AMA_1.fastq.gz,20147,16468
S445_AMA_1.fastq.gz,29836,25380
S446_AMA_1.fastq.gz,3688,2902
S447_AMA_1.fastq.gz,19806,15934
S448_AMA_1.fastq.gz,24939,19682
S449_AMA_1.fastq.gz,6510,4760
S45_AMA_1.fastq.gz,36434,30375
S450_AMA_1.fastq.gz,13995,7354
S451_AMA_1.fastq.gz,40,6
S452_AMA_1.fastq.gz,31,4
S453_AMA_1.fastq.gz,18492,13938
S454_AMA_1.fastq.gz,7,1
S455_AMA_1.fastq.gz,10,3
S456_AMA_1.fastq.gz,6040,4571
S457_AMA_1.fastq.gz,6,2
S458_AMA_1.fastq.gz,12,6
S459_AMA_1.fastq.gz,2873,2270
S46_AMA_1.fastq.gz,21197,17528
S460_AMA_1.fastq.gz,3,3
S461_AMA_1.fastq.gz,2950,2405
S462_AMA_1.fastq.gz,11125,8654
S463_AMA_1.fastq.gz,16,7
S464_AMA_1.fastq.gz,20,3
S465_AMA_1.fastq.gz,17,1
S466_AMA_1.fastq.gz,19849,15340
S467_AMA_1.fastq.gz,22242,18100
S468_AMA_1.fastq.gz,8340,6454
S469_AMA_1.fastq.gz,3426,2565
S47_AMA_1.fastq.gz,36365,27962
S470_AMA_1.fastq.gz,12453,10310
S471_AMA_1.fastq.gz,12702,10641
S472_AMA_1.fastq.gz,3830,3140
S473_AMA_1.fastq.gz,12643,9948
S474_AMA_1.fastq.gz,10712,8538
S475_AMA_1.fastq.gz,11343,8755
S476_AMA_1.fastq.gz,19,7
S477_AMA_1.fastq.gz,13,2
S478_AMA_1.fastq.gz,16019,13151
S479_AMA_1.fastq.gz,4321,3641
S48_AMA_1.fastq.gz,20,9
S480_AMA_1.fastq.gz,13030,10994
S481_AMA_1.fastq.gz,17943,15025
S482_AMA_1.fastq.gz,13897,11347
S483_AMA_1.fastq.gz,8974,7514
S484_AMA_1.fastq.gz,10429,8445
S485_AMA_1.fastq.gz,62,11
S486_AMA_1.fastq.gz,22739,18382
S487_AMA_1.fastq.gz,31745,25324
S488_AMA_1.fastq.gz,13018,10658
S489_AMA_1.fastq.gz,5700,4667
S49_AMA_1.fastq.gz,39666,33636
S490_AMA_1.fastq.gz,6646,4964
S491_AMA_1.fastq.gz,10,3
S492_AMA_1.fastq.gz,34,3
S493_AMA_1.fastq.gz,10,5
S494_AMA_1.fastq.gz,10,7
S495_AMA_1.fastq.gz,6949,5841
S496_AMA_1.fastq.gz,26415,21741
S497_AMA_1.fastq.gz,18,4
S498_AMA_1.fastq.gz,30,14
S499_AMA_1.fastq.gz,8759,7438
S5_AMA_1.fastq.gz,10979,8564
S50_AMA_1.fastq.gz,52264,44120
S500_AMA_1.fastq.gz,2854,2448
S501_AMA_1.fastq.gz,4,4
S502_AMA_1.fastq.gz,10063,8300
S503_AMA_1.fastq.gz,4,3
S504_AMA_1.fastq.gz,5,1
S505_AMA_1.fastq.gz,10710,9119
S506_AMA_1.fastq.gz,9659,8081
S507_AMA_1.fastq.gz,24689,20716
S508_AMA_1.fastq.gz,27343,22707
S509_AMA_1.fastq.gz,31,22
S51_AMA_1.fastq.gz,17108,14238
S510_AMA_1.fastq.gz,21637,17052
S511_AMA_1.fastq.gz,8181,6692
S512_AMA_1.fastq.gz,21595,18344
S513_AMA_1.fastq.gz,21485,17786
S514_AMA_1.fastq.gz,52975,44074
S52_AMA_1.fastq.gz,17,9
S53_AMA_1.fastq.gz,15973,12895
S54_AMA_1.fastq.gz,32248,22633
S55_AMA_1.fastq.gz,24974,20584
S56_AMA_1.fastq.gz,48685,40772
S57_AMA_1.fastq.gz,45277,38517
S58_AMA_1.fastq.gz,8930,7535
S59_AMA_1.fastq.gz,33026,27394
S6_AMA_1.fastq.gz,25557,21155
S60_AMA_1.fastq.gz,32376,26301
S61_AMA_1.fastq.gz,10,5
S62_AMA_1.fastq.gz,55329,45448
S63_AMA_1.fastq.gz,35311,30032
S64_AMA_1.fastq.gz,20,14
S65_AMA_1.fastq.gz,23328,18997
S66_AMA_1.fastq.gz,55374,46364
S67_AMA_1.fastq.gz,17066,13766
S68_AMA_1.fastq.gz,34567,28665
S69_AMA_1.fastq.gz,45985,38234
S7_AMA_1.fastq.gz,9093,7295
S70_AMA_1.fastq.gz,51142,42575
S71_AMA_1.fastq.gz,56806,46749
S72_AMA_1.fastq.gz,28,20
S73_AMA_1.fastq.gz,41026,31888
S74_AMA_1.fastq.gz,17,7
S75_AMA_1.fastq.gz,11,5
S76_AMA_1.fastq.gz,19,11
S77_AMA_1.fastq.gz,37573,30692
S78_AMA_1.fastq.gz,16,8
S79_AMA_1.fastq.gz,14672,11918
S8_AMA_1.fastq.gz,17387,14323
S80_AMA_1.fastq.gz,14988,12446
S81_AMA_1.fastq.gz,49346,41815
S82_AMA_1.fastq.gz,36120,29584
S83_AMA_1.fastq.gz,32818,26540
S84_AMA_1.fastq.gz,11602,9653
S85_AMA_1.fastq.gz,4,1
S86_AMA_1.fastq.gz,47211,38573
S87_AMA_1.fastq.gz,47005,39378
S88_AMA_1.fastq.gz,49456,40027
S89_AMA_1.fastq.gz,4,3
S9_AMA_1.fastq.gz,23,11
S90_AMA_1.fastq.gz,8,2
S91_AMA_1.fastq.gz,25649,20160
S92_AMA_1.fastq.gz,10,6
S93_AMA_1.fastq.gz,4,2
S94_AMA_1.fastq.gz,17119,13260
S95_AMA_1.fastq.gz,15606,12512
S96_AMA_1.fastq.gz,2,2
S97_AMA_1.fastq.gz,8532,6818
S98_AMA_1.fastq.gz,1471,1071
S99_AMA_1.fastq.gz,4,2
