Sample,reads.in,reads.out,merged,tabled,nonchim
S194_AMA_1.fastq.gz,13837,11493,10731,10731,8488
S195_AMA_1.fastq.gz,5614,4072,3971,3971,3971
S196_AMA_1.fastq.gz,7,3,Removed,Removed,Removed
S197_AMA_1.fastq.gz,3303,2545,2486,2486,2486
S198_AMA_1.fastq.gz,23007,18921,18470,18470,18470
S199_AMA_1.fastq.gz,4,3,Removed,Removed,Removed
S2_AMA_1.fastq.gz,3505,2929,2859,2859,2859
S20_AMA_1.fastq.gz,34416,29026,28232,28232,28232
S200_AMA_1.fastq.gz,2,2,Removed,Removed,Removed
S201_AMA_1.fastq.gz,13056,7476,7097,7097,6019
S202_AMA_1.fastq.gz,13789,9772,9404,9404,7143
S203_AMA_1.fastq.gz,4320,3695,3544,3544,3059
S204_AMA_1.fastq.gz,29784,24506,23989,23989,23989
S205_AMA_1.fastq.gz,8,4,Removed,Removed,Removed
S206_AMA_1.fastq.gz,20542,16896,16439,16439,16439
S207_AMA_1.fastq.gz,19,10,Removed,Removed,Removed
S208_AMA_1.fastq.gz,17257,12835,12321,12321,11915
S209_AMA_1.fastq.gz,6092,4929,4813,4813,4813
S21_AMA_1.fastq.gz,32477,26557,25910,25910,25459
S210_AMA_1.fastq.gz,9900,8262,8065,8065,7773
S211_AMA_1.fastq.gz,24,7,Removed,Removed,Removed
S212_AMA_1.fastq.gz,16134,13579,13196,13196,13196
S213_AMA_1.fastq.gz,8,5,Removed,Removed,Removed
S214_AMA_1.fastq.gz,10157,7913,7663,7663,6575
S215_AMA_1.fastq.gz,22,5,Removed,Removed,Removed
S216_AMA_1.fastq.gz,13664,9628,9160,9160,8210
S217_AMA_1.fastq.gz,30,3,Removed,Removed,Removed
S218_AMA_1.fastq.gz,38520,31740,30764,30764,30289
S219_AMA_1.fastq.gz,26,15,Removed,Removed,Removed
S22_AMA_1.fastq.gz,6585,5065,4894,4894,4894
S220_AMA_1.fastq.gz,13614,11005,10736,10736,10736
S221_AMA_1.fastq.gz,31742,23573,22984,22984,22984
S222_AMA_1.fastq.gz,14263,11670,11377,11377,11331
S223_AMA_1.fastq.gz,31132,25704,25019,25019,24818
S224_AMA_1.fastq.gz,4201,3351,3263,3263,3263
S225_AMA_1.fastq.gz,16086,11891,11547,11547,11318
S226_AMA_1.fastq.gz,26874,20083,19650,19650,0
S227_AMA_1.fastq.gz,25902,21024,20441,20441,20441
S228_AMA_1.fastq.gz,18,7,Removed,Removed,Removed
S229_AMA_1.fastq.gz,9969,8335,8093,8093,7126
S23_AMA_1.fastq.gz,22189,15739,14981,14981,13238
S230_AMA_1.fastq.gz,17469,14940,14526,14526,13831
S231_AMA_1.fastq.gz,27916,23492,22846,22846,20889
S232_AMA_1.fastq.gz,33578,28354,27511,27511,27406
S233_AMA_1.fastq.gz,12,6,Removed,Removed,Removed
S234_AMA_1.fastq.gz,18665,15490,14814,14814,13892
S235_AMA_1.fastq.gz,29788,24940,23525,23525,19352
S236_AMA_1.fastq.gz,24,4,Removed,Removed,Removed
S237_AMA_1.fastq.gz,11,9,Removed,Removed,Removed
S238_AMA_1.fastq.gz,25,6,Removed,Removed,Removed
S239_AMA_1.fastq.gz,10662,8769,8524,8524,7561
S24_AMA_1.fastq.gz,23874,16616,16153,16153,16153
S240_AMA_1.fastq.gz,40,15,Removed,Removed,Removed
S241_AMA_1.fastq.gz,14,12,Removed,Removed,Removed
S242_AMA_1.fastq.gz,23970,19892,19440,19440,19440
S243_AMA_1.fastq.gz,17922,14558,14089,14089,12366
S244_AMA_1.fastq.gz,43442,36160,35208,35208,35208
S245_AMA_1.fastq.gz,23844,19391,18942,18942,18942
S246_AMA_1.fastq.gz,4910,4054,3953,3953,3953
S247_AMA_1.fastq.gz,18058,15229,14657,14657,12927
S248_AMA_1.fastq.gz,27,11,Removed,Removed,Removed
S249_AMA_1.fastq.gz,22,8,Removed,Removed,Removed
S25_AMA_1.fastq.gz,57247,48990,47474,47474,47039
S250_AMA_1.fastq.gz,53,18,Removed,Removed,Removed
S251_AMA_1.fastq.gz,59,5,Removed,Removed,Removed
S252_AMA_1.fastq.gz,2,1,Removed,Removed,Removed
S253_AMA_1.fastq.gz,6341,5189,5065,5065,5065
S254_AMA_1.fastq.gz,31077,25074,24390,24390,23100
S255_AMA_1.fastq.gz,20554,16218,15648,15648,14451
S256_AMA_1.fastq.gz,32054,26537,25619,25619,23703
S257_AMA_1.fastq.gz,17888,14388,14060,14060,14060
S258_AMA_1.fastq.gz,7,2,Removed,Removed,Removed
S259_AMA_1.fastq.gz,22,12,Removed,Removed,Removed
S26_AMA_1.fastq.gz,36841,30841,30171,30171,30171
S260_AMA_1.fastq.gz,18,11,Removed,Removed,Removed
S261_AMA_1.fastq.gz,21859,17191,16485,16485,13866
S262_AMA_1.fastq.gz,31418,24896,23965,23965,22113
S263_AMA_1.fastq.gz,7,1,Removed,Removed,Removed
S264_AMA_1.fastq.gz,9532,8108,7916,7916,5175
S265_AMA_1.fastq.gz,22434,18641,17231,17231,11428
S266_AMA_1.fastq.gz,21659,18307,17606,17606,13353
S267_AMA_1.fastq.gz,27445,22423,21824,21824,21162
S268_AMA_1.fastq.gz,15471,12550,12095,12095,11778
S269_AMA_1.fastq.gz,13470,10905,10124,10124,6275
S27_AMA_1.fastq.gz,40835,34812,33947,33947,33947
S270_AMA_1.fastq.gz,16284,13352,13056,13056,13056
S271_AMA_1.fastq.gz,18186,14757,14113,14113,13069
S272_AMA_1.fastq.gz,21,18,Removed,Removed,Removed
S273_AMA_1.fastq.gz,20,8,Removed,Removed,Removed
S274_AMA_1.fastq.gz,20624,16660,15716,15716,11108
S275_AMA_1.fastq.gz,10330,2823,2737,2737,2737
S276_AMA_1.fastq.gz,10461,8548,8356,8356,7834
S277_AMA_1.fastq.gz,16033,12714,12111,12111,9837
S278_AMA_1.fastq.gz,9928,8313,8125,8125,8125
S279_AMA_1.fastq.gz,19,5,Removed,Removed,Removed
S28_AMA_1.fastq.gz,41794,34872,34051,34051,34051
S280_AMA_1.fastq.gz,18820,10156,9725,9725,9725
S281_AMA_1.fastq.gz,17790,14978,14480,14480,12752
S282_AMA_1.fastq.gz,13028,10882,10566,10566,9629
S283_AMA_1.fastq.gz,9,6,Removed,Removed,Removed
S284_AMA_1.fastq.gz,7531,4829,4658,4658,4595
S285_AMA_1.fastq.gz,13157,10684,10456,10456,10456
S286_AMA_1.fastq.gz,25171,14195,13756,13756,13702
S287_AMA_1.fastq.gz,10135,7940,7764,7764,7764
S288_AMA_1.fastq.gz,4704,3669,3592,3592,3592
S289_AMA_1.fastq.gz,17,10,Removed,Removed,Removed
S29_AMA_1.fastq.gz,13239,10749,10518,10518,10518
S290_AMA_1.fastq.gz,7,5,Removed,Removed,Removed
S291_AMA_1.fastq.gz,7,2,Removed,Removed,Removed
S292_AMA_1.fastq.gz,26,20,Removed,Removed,Removed
S293_AMA_1.fastq.gz,6811,5637,5491,5491,5491
S294_AMA_1.fastq.gz,8991,7545,7368,7368,7368
S295_AMA_1.fastq.gz,5599,4735,4638,4638,4638
S296_AMA_1.fastq.gz,23,18,Removed,Removed,Removed
S297_AMA_1.fastq.gz,12440,10060,9665,9665,8329
S298_AMA_1.fastq.gz,29572,25031,24454,24454,24454
S299_AMA_1.fastq.gz,9154,6003,5828,5828,5828
S3_AMA_1.fastq.gz,18475,12335,11823,11823,10677
S30_AMA_1.fastq.gz,63273,51892,50724,50724,50724
S300_AMA_1.fastq.gz,18972,16177,15708,15708,15708
S301_AMA_1.fastq.gz,42,7,Removed,Removed,Removed
S302_AMA_1.fastq.gz,13836,11882,11378,11378,9175
S303_AMA_1.fastq.gz,14508,12293,11913,11913,10189
S304_AMA_1.fastq.gz,3711,3129,2995,2995,2995
S305_AMA_1.fastq.gz,14770,12372,12061,12061,12061
S306_AMA_1.fastq.gz,10653,8678,8309,8309,8257
S307_AMA_1.fastq.gz,5,4,Removed,Removed,Removed
S308_AMA_1.fastq.gz,10569,8884,8676,8676,8676
S309_AMA_1.fastq.gz,11,7,Removed,Removed,Removed
S31_AMA_1.fastq.gz,35725,29601,28778,28778,26676
S310_AMA_1.fastq.gz,21225,17633,17180,17180,17180
S311_AMA_1.fastq.gz,9764,8242,8060,8060,8060
S312_AMA_1.fastq.gz,5,4,Removed,Removed,Removed
S313_AMA_1.fastq.gz,15660,12697,12433,12433,12433
S314_AMA_1.fastq.gz,7,2,Removed,Removed,Removed
S315_AMA_1.fastq.gz,3,1,Removed,Removed,Removed
S316_AMA_1.fastq.gz,12371,10449,10185,10185,8949
S317_AMA_1.fastq.gz,15500,12968,12538,12538,9506
S318_AMA_1.fastq.gz,24763,21093,20613,20613,20613
S319_AMA_1.fastq.gz,245,202,197,197,197
S32_AMA_1.fastq.gz,47962,40174,39263,39263,39263
S320_AMA_1.fastq.gz,15077,12746,12401,12401,12401
S321_AMA_1.fastq.gz,15072,12297,11857,11857,11653
S322_AMA_1.fastq.gz,23,14,Removed,Removed,Removed
S323_AMA_1.fastq.gz,4,1,Removed,Removed,Removed
S324_AMA_1.fastq.gz,5929,5039,4922,4922,4717
S325_AMA_1.fastq.gz,14427,11498,11223,11223,11223
S326_AMA_1.fastq.gz,15511,13068,12818,12818,12278
S327_AMA_1.fastq.gz,11342,9711,9507,9507,9507
S328_AMA_1.fastq.gz,20,15,Removed,Removed,Removed
S329_AMA_1.fastq.gz,11588,9168,8841,8841,7963
S33_AMA_1.fastq.gz,47624,39484,38575,38575,38575
S330_AMA_1.fastq.gz,46,30,Removed,Removed,Removed
S331_AMA_1.fastq.gz,10600,8570,8370,8370,8370
S332_AMA_1.fastq.gz,9689,8146,7640,7640,6186
S333_AMA_1.fastq.gz,19017,15491,15116,15116,15116
S334_AMA_1.fastq.gz,18981,15701,15330,15330,15330
S335_AMA_1.fastq.gz,21355,18072,17580,17580,17186
S336_AMA_1.fastq.gz,16843,14094,13796,13796,13796
S337_AMA_1.fastq.gz,22160,17866,17324,17324,15625
S338_AMA_1.fastq.gz,13490,11190,10679,10679,8849
S339_AMA_1.fastq.gz,15104,12576,12072,12072,9062
S34_AMA_1.fastq.gz,7542,6426,6290,6290,6290
S340_AMA_1.fastq.gz,14045,11895,11512,11512,10706
S341_AMA_1.fastq.gz,11,8,Removed,Removed,Removed
S342_AMA_1.fastq.gz,15328,12381,12092,12092,12092
S343_AMA_1.fastq.gz,9,8,Removed,Removed,Removed
S344_AMA_1.fastq.gz,22257,18631,18212,18212,18212
S345_AMA_1.fastq.gz,15918,13132,12677,12677,12216
S346_AMA_1.fastq.gz,22193,18347,17214,17214,8575
S347_AMA_1.fastq.gz,12,7,Removed,Removed,Removed
S348_AMA_1.fastq.gz,18275,15015,14478,14478,11785
S349_AMA_1.fastq.gz,10603,8198,8014,8014,8014
S35_AMA_1.fastq.gz,22070,18440,18037,18037,0
S350_AMA_1.fastq.gz,4,2,Removed,Removed,Removed
S351_AMA_1.fastq.gz,3,3,Removed,Removed,Removed
S352_AMA_1.fastq.gz,4370,3591,3480,3480,3480
S353_AMA_1.fastq.gz,2,2,Removed,Removed,Removed
S354_AMA_1.fastq.gz,11854,9781,9548,9548,9548
S355_AMA_1.fastq.gz,4,0,Removed,Removed,Removed
S356_AMA_1.fastq.gz,7,4,Removed,Removed,Removed
S357_AMA_1.fastq.gz,3301,2108,2057,2057,2057
S358_AMA_1.fastq.gz,12511,10320,9923,9923,8850
S359_AMA_1.fastq.gz,15880,13171,12868,12868,12868
S36_AMA_1.fastq.gz,21,14,Removed,Removed,Removed
S360_AMA_1.fastq.gz,11874,9687,9258,9258,7661
S361_AMA_1.fastq.gz,14757,8534,8190,8190,7403
S362_AMA_1.fastq.gz,9062,7256,7090,7090,7090
S363_AMA_1.fastq.gz,7947,5892,5762,5762,5762
S364_AMA_1.fastq.gz,28,6,Removed,Removed,Removed
S365_AMA_1.fastq.gz,40584,33921,33112,33112,33112
S366_AMA_1.fastq.gz,27892,21666,20939,20939,19514
S367_AMA_1.fastq.gz,9710,8024,7869,7869,7577
S368_AMA_1.fastq.gz,4003,3389,3314,3314,3314
S369_AMA_1.fastq.gz,27,12,Removed,Removed,Removed
S37_AMA_1.fastq.gz,1176,871,867,867,867
S370_AMA_1.fastq.gz,8652,7161,7002,7002,7002
S371_AMA_1.fastq.gz,20767,17157,16741,16741,16741
S372_AMA_1.fastq.gz,12,2,Removed,Removed,Removed
S373_AMA_1.fastq.gz,26919,22743,22213,22213,22213
S374_AMA_1.fastq.gz,21630,17126,16483,16483,14618
S375_AMA_1.fastq.gz,7492,6257,6056,6056,5603
S376_AMA_1.fastq.gz,24744,21156,20415,20415,18110
S377_AMA_1.fastq.gz,3377,2788,2738,2738,2638
S378_AMA_1.fastq.gz,38505,31264,30109,30109,23441
S379_AMA_1.fastq.gz,19,6,Removed,Removed,Removed
S38_AMA_1.fastq.gz,7,3,Removed,Removed,Removed
S380_AMA_1.fastq.gz,48,2,Removed,Removed,Removed
S381_AMA_1.fastq.gz,42959,37293,36413,36413,36413
S382_AMA_1.fastq.gz,75,13,Removed,Removed,Removed
S383_AMA_1.fastq.gz,31,22,Removed,Removed,Removed
S384_AMA_1.fastq.gz,48250,41031,39993,39993,39945
S385_AMA_1.fastq.gz,22,12,Removed,Removed,Removed
S386_AMA_1.fastq.gz,4178,3511,3436,3436,3436
S387_AMA_1.fastq.gz,31371,26930,25888,25888,21930
S388_AMA_1.fastq.gz,32812,27965,26783,26783,20963
S389_AMA_1.fastq.gz,4458,3800,3709,3709,3709
S39_AMA_1.fastq.gz,35,28,Removed,Removed,Removed
S390_AMA_1.fastq.gz,52697,45382,44318,44318,44318
S391_AMA_1.fastq.gz,15579,13577,13267,13267,13267
S392_AMA_1.fastq.gz,6406,5590,5423,5423,5423
S393_AMA_1.fastq.gz,16804,14344,13933,13933,13933
S394_AMA_1.fastq.gz,10806,9036,8831,8831,8831
S395_AMA_1.fastq.gz,15465,12772,12418,12418,11209
S396_AMA_1.fastq.gz,4,2,Removed,Removed,Removed
S397_AMA_1.fastq.gz,18150,15574,15189,15189,15189
S398_AMA_1.fastq.gz,20,4,Removed,Removed,Removed
S399_AMA_1.fastq.gz,16332,13452,12926,12926,11979
S4_AMA_1.fastq.gz,2614,2071,2019,2019,2019
S40_AMA_1.fastq.gz,10,6,Removed,Removed,Removed
S400_AMA_1.fastq.gz,9675,8148,7682,7682,6216
S401_AMA_1.fastq.gz,10515,8815,8613,8613,8261
S402_AMA_1.fastq.gz,9574,7682,7486,7486,7486
S403_AMA_1.fastq.gz,0,0,Removed,Removed,Removed
S404_AMA_1.fastq.gz,5206,4394,4294,4294,4053
S405_AMA_1.fastq.gz,28065,23298,22672,22672,22672
S406_AMA_1.fastq.gz,28342,23342,22716,22716,18645
S407_AMA_1.fastq.gz,17836,14023,13663,13663,13663
S408_AMA_1.fastq.gz,15,5,Removed,Removed,Removed
S409_AMA_1.fastq.gz,17,11,Removed,Removed,Removed
S41_AMA_1.fastq.gz,14,7,Removed,Removed,Removed
S410_AMA_1.fastq.gz,21,12,Removed,Removed,Removed
S411_AMA_1.fastq.gz,8399,6703,6577,6577,6577
S412_AMA_1.fastq.gz,5094,2350,2210,2210,2144
S413_AMA_1.fastq.gz,11454,6843,6276,6276,4580
S414_AMA_1.fastq.gz,22745,14699,14252,14252,14220
S415_AMA_1.fastq.gz,29210,21028,20393,20393,20155
S416_AMA_1.fastq.gz,7150,5733,5612,5612,5612
S417_AMA_1.fastq.gz,8969,7608,7316,7316,6590
S418_AMA_1.fastq.gz,38649,32600,31793,31793,31793
S419_AMA_1.fastq.gz,36579,31011,30189,30189,30092
S42_AMA_1.fastq.gz,40283,33857,33128,33128,33128
S420_AMA_1.fastq.gz,11,7,Removed,Removed,Removed
S421_AMA_1.fastq.gz,11729,9869,9621,9621,9538
S422_AMA_1.fastq.gz,13351,10896,10625,10625,10625
S423_AMA_1.fastq.gz,15137,12259,11943,11943,11258
S424_AMA_1.fastq.gz,11374,9652,9438,9438,9280
S425_AMA_1.fastq.gz,7855,6436,6276,6276,6276
S426_AMA_1.fastq.gz,16410,13389,13054,13054,13054
S427_AMA_1.fastq.gz,43552,36897,35625,35625,35418
S428_AMA_1.fastq.gz,17890,14804,14203,14203,6056
S429_AMA_1.fastq.gz,19572,16817,15724,15724,12144
S43_AMA_1.fastq.gz,2,0,Removed,Removed,Removed
S430_AMA_1.fastq.gz,9,6,Removed,Removed,Removed
S431_AMA_1.fastq.gz,27776,23670,23146,23146,23146
S432_AMA_1.fastq.gz,17375,14323,13968,13968,13968
S433_AMA_1.fastq.gz,23246,20009,19522,19522,19257
S434_AMA_1.fastq.gz,15136,12347,12064,12064,12064
S435_AMA_1.fastq.gz,19824,16682,16106,16106,12831
S436_AMA_1.fastq.gz,21681,18808,18383,18383,17591
S437_AMA_1.fastq.gz,5380,4470,4371,4371,4371
S438_AMA_1.fastq.gz,39,9,Removed,Removed,Removed
S439_AMA_1.fastq.gz,10549,8839,8303,8303,6854
S44_AMA_1.fastq.gz,9,6,Removed,Removed,Removed
S440_AMA_1.fastq.gz,11960,10121,9707,9707,8658
S441_AMA_1.fastq.gz,6,1,Removed,Removed,Removed
S442_AMA_1.fastq.gz,21969,18217,17462,17462,14026
S443_AMA_1.fastq.gz,8,7,Removed,Removed,Removed
S444_AMA_1.fastq.gz,20147,16468,15509,15509,11119
S445_AMA_1.fastq.gz,29836,25380,24752,24752,24752
S446_AMA_1.fastq.gz,3688,2902,2832,2832,2832
S447_AMA_1.fastq.gz,19806,15934,15480,15480,15449
S448_AMA_1.fastq.gz,24939,19682,19239,19239,19239
S449_AMA_1.fastq.gz,6510,4760,4654,4654,4654
S45_AMA_1.fastq.gz,36434,30375,29665,29665,29665
S450_AMA_1.fastq.gz,13995,7354,7130,7130,7130
S451_AMA_1.fastq.gz,40,6,Removed,Removed,Removed
S452_AMA_1.fastq.gz,31,4,Removed,Removed,Removed
S453_AMA_1.fastq.gz,18492,13938,13604,13604,13604
S454_AMA_1.fastq.gz,7,1,Removed,Removed,Removed
S455_AMA_1.fastq.gz,10,3,Removed,Removed,Removed
S456_AMA_1.fastq.gz,6040,4571,4401,4401,4239
S457_AMA_1.fastq.gz,6,2,Removed,Removed,Removed
S458_AMA_1.fastq.gz,12,6,Removed,Removed,Removed
S459_AMA_1.fastq.gz,2873,2270,2203,2203,2203
S46_AMA_1.fastq.gz,21197,17528,16965,16965,14831
S460_AMA_1.fastq.gz,3,3,Removed,Removed,Removed
S461_AMA_1.fastq.gz,2950,2405,2341,2341,2341
S462_AMA_1.fastq.gz,11125,8654,8462,8462,8462
S463_AMA_1.fastq.gz,16,7,Removed,Removed,Removed
S464_AMA_1.fastq.gz,20,3,Removed,Removed,Removed
S465_AMA_1.fastq.gz,17,1,Removed,Removed,Removed
S466_AMA_1.fastq.gz,19849,15340,14847,14847,14632
S467_AMA_1.fastq.gz,22242,18100,17450,17450,14671
S468_AMA_1.fastq.gz,8340,6454,6290,6290,6038
S469_AMA_1.fastq.gz,3426,2565,2506,2506,2506
S47_AMA_1.fastq.gz,36365,27962,27166,27166,27097
S470_AMA_1.fastq.gz,12453,10310,10056,10056,10056
S471_AMA_1.fastq.gz,12702,10641,10213,10213,8555
S472_AMA_1.fastq.gz,3830,3140,3066,3066,3066
S473_AMA_1.fastq.gz,12643,9948,9473,9473,8224
S474_AMA_1.fastq.gz,10712,8538,8234,8234,6812
S475_AMA_1.fastq.gz,11343,8755,8329,8329,7729
S476_AMA_1.fastq.gz,19,7,Removed,Removed,Removed
S477_AMA_1.fastq.gz,13,2,Removed,Removed,Removed
S478_AMA_1.fastq.gz,16019,13151,12420,12420,8543
S479_AMA_1.fastq.gz,4321,3641,3576,3576,3576
S48_AMA_1.fastq.gz,20,9,Removed,Removed,Removed
S480_AMA_1.fastq.gz,13030,10994,10728,10728,10728
S481_AMA_1.fastq.gz,17943,15025,14672,14672,14672
S482_AMA_1.fastq.gz,13897,11347,11050,11050,10619
S483_AMA_1.fastq.gz,8974,7514,7262,7262,6882
S484_AMA_1.fastq.gz,10429,8445,8018,8018,7102
S485_AMA_1.fastq.gz,62,11,Removed,Removed,Removed
S486_AMA_1.fastq.gz,22739,18382,17343,17343,13194
S487_AMA_1.fastq.gz,31745,25324,24681,24681,24681
S488_AMA_1.fastq.gz,13018,10658,10173,10173,9865
S489_AMA_1.fastq.gz,5700,4667,4577,4577,4577
S49_AMA_1.fastq.gz,39666,33636,32419,32419,26788
S490_AMA_1.fastq.gz,6646,4964,4834,4834,4554
S491_AMA_1.fastq.gz,10,3,Removed,Removed,Removed
S492_AMA_1.fastq.gz,34,3,Removed,Removed,Removed
S493_AMA_1.fastq.gz,10,5,Removed,Removed,Removed
S494_AMA_1.fastq.gz,10,7,Removed,Removed,Removed
S495_AMA_1.fastq.gz,6949,5841,5658,5658,5658
S496_AMA_1.fastq.gz,26415,21741,21128,21128,21128
S497_AMA_1.fastq.gz,18,4,Removed,Removed,Removed
S498_AMA_1.fastq.gz,30,14,Removed,Removed,Removed
S499_AMA_1.fastq.gz,8759,7438,7160,7160,6707
S5_AMA_1.fastq.gz,10979,8564,8329,8329,8329
S50_AMA_1.fastq.gz,52264,44120,42338,42338,37401
