Sample,reads.in,reads.out,merged,tabled,nonchim
S193_CSP_1.fastq.gz,3,2,Removed,Removed,Removed
S194_CSP_1.fastq.gz,11280,8432,8140,8140,7293
S195_CSP_1.fastq.gz,3747,2380,2380,2380,2380
S196_CSP_1.fastq.gz,5,3,Removed,Removed,Removed
S197_CSP_1.fastq.gz,1,0,Removed,Removed,Removed
S198_CSP_1.fastq.gz,19359,13482,13275,13275,13275
S199_CSP_1.fastq.gz,6229,4390,4389,4389,4389
S2_CSP_1.fastq.gz,8987,6324,6321,6321,6321
S20_CSP_1.fastq.gz,19593,13799,13799,13799,13799
S200_CSP_1.fastq.gz,2,0,Removed,Removed,Removed
S201_CSP_1.fastq.gz,10801,5709,5636,5636,5409
S202_CSP_1.fastq.gz,15385,10174,10138,10138,9535
S203_CSP_1.fastq.gz,7565,5573,5513,5513,3874
S204_CSP_1.fastq.gz,24617,18243,18242,18242,18242
S205_CSP_1.fastq.gz,6,3,Removed,Removed,Removed
S206_CSP_1.fastq.gz,17030,12803,12802,12802,12802
S207_CSP_1.fastq.gz,2,0,Removed,Removed,Removed
S208_CSP_1.fastq.gz,13148,8198,8078,8078,7352
S209_CSP_1.fastq.gz,4,2,Removed,Removed,Removed
S21_CSP_1.fastq.gz,15055,10812,10700,10700,10531
S210_CSP_1.fastq.gz,9385,6634,6634,6634,6634
S211_CSP_1.fastq.gz,8,5,Removed,Removed,Removed
S212_CSP_1.fastq.gz,15749,11556,11556,11556,11556
S213_CSP_1.fastq.gz,3,1,Removed,Removed,Removed
S214_CSP_1.fastq.gz,9093,6455,6407,6407,6028
S215_CSP_1.fastq.gz,3,2,Removed,Removed,Removed
S216_CSP_1.fastq.gz,12041,7216,7150,7150,6693
S217_CSP_1.fastq.gz,5,4,Removed,Removed,Removed
S218_CSP_1.fastq.gz,30114,21980,21905,21905,21878
S219_CSP_1.fastq.gz,13,6,Removed,Removed,Removed
S22_CSP_1.fastq.gz,6292,4241,4241,4241,4241
S220_CSP_1.fastq.gz,15577,10405,10404,10404,10404
S221_CSP_1.fastq.gz,27608,18024,17990,17990,17742
S222_CSP_1.fastq.gz,15039,10443,10443,10443,10443
S223_CSP_1.fastq.gz,26716,19571,19484,19484,19406
S224_CSP_1.fastq.gz,9555,6853,6851,6851,6851
S225_CSP_1.fastq.gz,14146,9426,9354,9354,9134
S226_CSP_1.fastq.gz,21638,14600,14599,14599,14599
S227_CSP_1.fastq.gz,28903,20218,20212,20212,20174
S228_CSP_1.fastq.gz,5404,3876,3875,3875,3875
S229_CSP_1.fastq.gz,1,1,Removed,Removed,Removed
S23_CSP_1.fastq.gz,15827,10490,10413,10413,8803
S230_CSP_1.fastq.gz,20477,15286,15261,15261,15261
S231_CSP_1.fastq.gz,25149,18133,17904,17904,16154
S232_CSP_1.fastq.gz,26285,19643,19536,19536,19498
S233_CSP_1.fastq.gz,4558,3155,3155,3155,3155
S234_CSP_1.fastq.gz,13043,9126,8986,8986,7198
S235_CSP_1.fastq.gz,20802,15714,15146,15146,11792
S236_CSP_1.fastq.gz,10,4,Removed,Removed,Removed
S237_CSP_1.fastq.gz,8106,5915,5914,5914,5914
S238_CSP_1.fastq.gz,5944,4317,4316,4316,4316
S239_CSP_1.fastq.gz,11788,8408,8390,8390,7674
S24_CSP_1.fastq.gz,14487,8912,8854,8854,8854
S240_CSP_1.fastq.gz,14,3,Removed,Removed,Removed
S241_CSP_1.fastq.gz,8,4,Removed,Removed,Removed
S242_CSP_1.fastq.gz,12677,9266,9223,9223,8348
S243_CSP_1.fastq.gz,18938,13469,13468,13468,13468
S244_CSP_1.fastq.gz,26707,18971,18918,18918,18918
S245_CSP_1.fastq.gz,12091,8129,8082,8082,7837
S246_CSP_1.fastq.gz,4,1,Removed,Removed,Removed
S247_CSP_1.fastq.gz,12119,8883,8882,8882,8882
S248_CSP_1.fastq.gz,11,7,Removed,Removed,Removed
S249_CSP_1.fastq.gz,4,1,Removed,Removed,Removed
S25_CSP_1.fastq.gz,28087,20525,20523,20523,20523
S250_CSP_1.fastq.gz,28,13,Removed,Removed,Removed
S251_CSP_1.fastq.gz,4,2,Removed,Removed,Removed
S252_CSP_1.fastq.gz,4,1,Removed,Removed,Removed
S253_CSP_1.fastq.gz,0,0,Removed,Removed,Removed
S254_CSP_1.fastq.gz,23040,16789,16535,16535,15797
S255_CSP_1.fastq.gz,13601,9170,9051,9051,7452
S256_CSP_1.fastq.gz,24772,17383,17148,17148,13721
S257_CSP_1.fastq.gz,13442,8931,8931,8931,8931
S258_CSP_1.fastq.gz,8,3,Removed,Removed,Removed
S259_CSP_1.fastq.gz,7,6,Removed,Removed,Removed
S26_CSP_1.fastq.gz,27149,20181,20181,20181,20181
S260_CSP_1.fastq.gz,3,3,Removed,Removed,Removed
S261_CSP_1.fastq.gz,22088,15760,15561,15561,13465
S262_CSP_1.fastq.gz,20234,14173,14159,14159,13405
S263_CSP_1.fastq.gz,4,1,Removed,Removed,Removed
S264_CSP_1.fastq.gz,15251,11330,11312,11312,11312
S265_CSP_1.fastq.gz,21154,15678,15127,15127,11852
S266_CSP_1.fastq.gz,15305,11566,11485,11485,10281
S267_CSP_1.fastq.gz,18744,13346,13230,13230,10441
S268_CSP_1.fastq.gz,1383,948,935,935,935
S269_CSP_1.fastq.gz,12642,8901,8766,8766,6379
S27_CSP_1.fastq.gz,19078,14017,13964,13964,13712
S270_CSP_1.fastq.gz,14518,10383,10325,10325,9886
S271_CSP_1.fastq.gz,16900,11803,11602,11602,10663
S272_CSP_1.fastq.gz,19252,13726,13633,13633,13561
S273_CSP_1.fastq.gz,10,4,Removed,Removed,Removed
S274_CSP_1.fastq.gz,25133,17685,17515,17515,17298
S275_CSP_1.fastq.gz,11390,2563,2563,2563,2563
S276_CSP_1.fastq.gz,10646,7536,7527,7527,7222
S277_CSP_1.fastq.gz,14704,10188,10114,10114,7452
S278_CSP_1.fastq.gz,14774,10768,10767,10767,10484
S279_CSP_1.fastq.gz,5,3,Removed,Removed,Removed
S28_CSP_1.fastq.gz,23100,17419,17384,17384,17384
S280_CSP_1.fastq.gz,21811,11333,11132,11132,11013
S281_CSP_1.fastq.gz,18008,13607,13477,13477,11350
S282_CSP_1.fastq.gz,17154,12512,12313,12313,11296
S283_CSP_1.fastq.gz,5,2,Removed,Removed,Removed
S284_CSP_1.fastq.gz,7228,4442,4442,4442,4442
S285_CSP_1.fastq.gz,14554,10291,10283,10283,10209
S286_CSP_1.fastq.gz,25394,15026,15020,15020,15020
S287_CSP_1.fastq.gz,13,3,Removed,Removed,Removed
S288_CSP_1.fastq.gz,3,1,Removed,Removed,Removed
S289_CSP_1.fastq.gz,24,13,Removed,Removed,Removed
S29_CSP_1.fastq.gz,15,7,Removed,Removed,Removed
S290_CSP_1.fastq.gz,6,2,Removed,Removed,Removed
S291_CSP_1.fastq.gz,9,9,Removed,Removed,Removed
S292_CSP_1.fastq.gz,15,7,Removed,Removed,Removed
S293_CSP_1.fastq.gz,5,2,Removed,Removed,Removed
S294_CSP_1.fastq.gz,12879,9415,9352,9352,8594
S295_CSP_1.fastq.gz,16071,12245,12245,12245,12245
S296_CSP_1.fastq.gz,11,6,Removed,Removed,Removed
S297_CSP_1.fastq.gz,12374,8832,8812,8812,8812
S298_CSP_1.fastq.gz,25134,18935,18934,18934,18934
S299_CSP_1.fastq.gz,11,4,Removed,Removed,Removed
S3_CSP_1.fastq.gz,12499,7357,7356,7356,7356
S30_CSP_1.fastq.gz,32149,22847,22842,22842,22842
S300_CSP_1.fastq.gz,16643,12125,11914,11914,11914
S301_CSP_1.fastq.gz,13,5,Removed,Removed,Removed
S302_CSP_1.fastq.gz,16670,12310,12227,12227,12227
S303_CSP_1.fastq.gz,16221,12421,12257,12257,10589
S304_CSP_1.fastq.gz,7086,5411,5334,5334,4463
S305_CSP_1.fastq.gz,15147,11179,11179,11179,11179
S306_CSP_1.fastq.gz,12381,8897,8864,8864,8756
S307_CSP_1.fastq.gz,5,3,Removed,Removed,Removed
S308_CSP_1.fastq.gz,10138,7844,7843,7843,7843
S309_CSP_1.fastq.gz,4495,3165,3165,3165,3165
S31_CSP_1.fastq.gz,23641,16455,16234,16234,15072
S310_CSP_1.fastq.gz,19838,14425,14372,14372,14246
S311_CSP_1.fastq.gz,12153,9125,9125,9125,9125
S312_CSP_1.fastq.gz,1,1,Removed,Removed,Removed
S313_CSP_1.fastq.gz,17171,12113,12106,12106,12106
S314_CSP_1.fastq.gz,6,3,Removed,Removed,Removed
S315_CSP_1.fastq.gz,5,5,Removed,Removed,Removed
S316_CSP_1.fastq.gz,16073,12287,12164,12164,10840
S317_CSP_1.fastq.gz,16381,12162,11871,11871,9559
S318_CSP_1.fastq.gz,25254,18765,18604,18604,18604
S319_CSP_1.fastq.gz,8112,6101,6098,6098,6098
S32_CSP_1.fastq.gz,23308,16348,16348,16348,16348
S320_CSP_1.fastq.gz,17234,13329,13286,13286,13286
S321_CSP_1.fastq.gz,15759,11338,11279,11279,11121
S322_CSP_1.fastq.gz,6703,4718,4717,4717,4717
S323_CSP_1.fastq.gz,8,5,Removed,Removed,Removed
S324_CSP_1.fastq.gz,11104,8077,8077,8077,8077
S325_CSP_1.fastq.gz,11653,8537,8524,8524,8046
S326_CSP_1.fastq.gz,18134,13591,13591,13591,13591
S327_CSP_1.fastq.gz,4,3,Removed,Removed,Removed
S328_CSP_1.fastq.gz,6239,4714,4682,4682,4387
S329_CSP_1.fastq.gz,13253,9474,9465,9465,9465
S33_CSP_1.fastq.gz,23536,17119,17116,17116,17116
S330_CSP_1.fastq.gz,24,11,Removed,Removed,Removed
S331_CSP_1.fastq.gz,15117,10907,10866,10866,10866
S332_CSP_1.fastq.gz,12158,9062,9031,9031,7935
S333_CSP_1.fastq.gz,21326,15173,15170,15170,15170
S334_CSP_1.fastq.gz,20344,15191,15191,15191,15191
S335_CSP_1.fastq.gz,20506,15459,15453,15453,15453
S336_CSP_1.fastq.gz,16969,12486,12485,12485,12485
S337_CSP_1.fastq.gz,22251,15896,15860,15860,15860
S338_CSP_1.fastq.gz,15588,11447,11441,11441,10351
S339_CSP_1.fastq.gz,16126,12134,11880,11880,10416
S34_CSP_1.fastq.gz,6139,4572,4568,4568,4568
S340_CSP_1.fastq.gz,15499,12029,11829,11829,10774
S341_CSP_1.fastq.gz,10,4,Removed,Removed,Removed
S342_CSP_1.fastq.gz,15372,11025,11024,11024,11024
S343_CSP_1.fastq.gz,11,7,Removed,Removed,Removed
S344_CSP_1.fastq.gz,21518,16452,16435,16435,16435
S345_CSP_1.fastq.gz,10122,7011,7011,7011,7011
S346_CSP_1.fastq.gz,19485,14481,14378,14378,11510
S347_CSP_1.fastq.gz,4,4,Removed,Removed,Removed
S348_CSP_1.fastq.gz,13327,9408,9183,9183,7261
S349_CSP_1.fastq.gz,15222,10267,10216,10216,10216
S35_CSP_1.fastq.gz,16854,12465,12465,12465,12465
S350_CSP_1.fastq.gz,5,1,Removed,Removed,Removed
S351_CSP_1.fastq.gz,38,29,Removed,Removed,Removed
S352_CSP_1.fastq.gz,2,0,Removed,Removed,Removed
S353_CSP_1.fastq.gz,4,3,Removed,Removed,Removed
S354_CSP_1.fastq.gz,18419,12967,12899,12899,12081
S355_CSP_1.fastq.gz,8389,6031,6031,6031,6031
S356_CSP_1.fastq.gz,4,2,Removed,Removed,Removed
S357_CSP_1.fastq.gz,14,3,Removed,Removed,Removed
S358_CSP_1.fastq.gz,19133,13708,13619,13619,11771
S359_CSP_1.fastq.gz,14258,10048,10048,10048,10048
S36_CSP_1.fastq.gz,18,12,Removed,Removed,Removed
S360_CSP_1.fastq.gz,17160,12490,12388,12388,10663
S361_CSP_1.fastq.gz,18835,10411,10201,10201,8975
S362_CSP_1.fastq.gz,7430,5171,5170,5170,5170
S363_CSP_1.fastq.gz,16971,11903,11871,11871,11871
S364_CSP_1.fastq.gz,6,3,Removed,Removed,Removed
S365_CSP_1.fastq.gz,25432,18016,17977,17977,17977
S366_CSP_1.fastq.gz,25271,17603,17545,17545,16794
S367_CSP_1.fastq.gz,23564,17305,17304,17304,17304
S368_CSP_1.fastq.gz,13607,10245,10244,10244,10244
S369_CSP_1.fastq.gz,10,7,Removed,Removed,Removed
S37_CSP_1.fastq.gz,3,2,Removed,Removed,Removed
S370_CSP_1.fastq.gz,3,0,Removed,Removed,Removed
S371_CSP_1.fastq.gz,16547,12022,11960,11960,11960
S372_CSP_1.fastq.gz,2,0,Removed,Removed,Removed
S373_CSP_1.fastq.gz,22786,17258,17134,17134,17134
S374_CSP_1.fastq.gz,19092,12860,12524,12524,10974
S375_CSP_1.fastq.gz,12640,9311,9202,9202,8743
S376_CSP_1.fastq.gz,19693,14591,14307,14307,13677
S377_CSP_1.fastq.gz,8969,6549,6524,6524,6210
S378_CSP_1.fastq.gz,30182,21436,21303,21303,21303
S379_CSP_1.fastq.gz,7,2,Removed,Removed,Removed
S38_CSP_1.fastq.gz,2,2,Removed,Removed,Removed
S380_CSP_1.fastq.gz,14575,10589,10588,10588,10588
S381_CSP_1.fastq.gz,30893,23327,23326,23326,23326
S382_CSP_1.fastq.gz,10,4,Removed,Removed,Removed
S383_CSP_1.fastq.gz,39,27,Removed,Removed,Removed
S384_CSP_1.fastq.gz,33877,25371,25368,25368,25349
S385_CSP_1.fastq.gz,12,4,Removed,Removed,Removed
S386_CSP_1.fastq.gz,35,22,Removed,Removed,Removed
S387_CSP_1.fastq.gz,20006,14823,14810,14810,14373
S388_CSP_1.fastq.gz,22708,16554,16263,16263,14336
S389_CSP_1.fastq.gz,22,12,Removed,Removed,Removed
S39_CSP_1.fastq.gz,4086,3005,2990,2990,2990
S390_CSP_1.fastq.gz,36839,26575,26557,26557,26557
S391_CSP_1.fastq.gz,24756,18167,18167,18167,18167
S392_CSP_1.fastq.gz,20812,15712,15669,15669,2412
S393_CSP_1.fastq.gz,16165,12424,12423,12423,12423
S394_CSP_1.fastq.gz,17413,12837,12836,12836,12836
S395_CSP_1.fastq.gz,18176,13232,13103,13103,11535
S396_CSP_1.fastq.gz,6,4,Removed,Removed,Removed
S397_CSP_1.fastq.gz,21448,16161,16161,16161,16161
S398_CSP_1.fastq.gz,9,3,Removed,Removed,Removed
S399_CSP_1.fastq.gz,18997,13715,13647,13647,12981
S4_CSP_1.fastq.gz,7571,5399,5395,5395,4984
S40_CSP_1.fastq.gz,6,3,Removed,Removed,Removed
S400_CSP_1.fastq.gz,11358,8465,8235,8235,6644
S401_CSP_1.fastq.gz,12476,8691,8603,8603,7450
S402_CSP_1.fastq.gz,18196,12640,12600,12600,12600
S403_CSP_1.fastq.gz,1,0,Removed,Removed,Removed
S404_CSP_1.fastq.gz,14561,10684,10649,10649,9762
S405_CSP_1.fastq.gz,24480,18033,18032,18032,18032
S406_CSP_1.fastq.gz,18378,13460,13359,13359,11423
S407_CSP_1.fastq.gz,18124,12768,12709,12709,11692
S408_CSP_1.fastq.gz,11,8,Removed,Removed,Removed
S409_CSP_1.fastq.gz,17,8,Removed,Removed,Removed
S41_CSP_1.fastq.gz,3,1,Removed,Removed,Removed
S410_CSP_1.fastq.gz,12,9,Removed,Removed,Removed
S411_CSP_1.fastq.gz,12620,8971,8876,8876,7952
S412_CSP_1.fastq.gz,6679,2944,2940,2940,2714
S413_CSP_1.fastq.gz,14150,7029,6864,6864,1891
S414_CSP_1.fastq.gz,15,7,Removed,Removed,Removed
S415_CSP_1.fastq.gz,26446,17474,17410,17410,17410
S416_CSP_1.fastq.gz,14795,10569,10523,10523,9934
S417_CSP_1.fastq.gz,13239,10169,10084,10084,9100
S418_CSP_1.fastq.gz,31296,22842,22828,22828,22828
S419_CSP_1.fastq.gz,25005,18380,18373,18373,18373
S42_CSP_1.fastq.gz,19517,14355,14300,14300,14300
S420_CSP_1.fastq.gz,7237,5282,5282,5282,5282
S421_CSP_1.fastq.gz,15987,12156,11979,11979,11564
S422_CSP_1.fastq.gz,18623,12650,12650,12650,12650
S423_CSP_1.fastq.gz,16691,12015,11882,11882,10285
S424_CSP_1.fastq.gz,17403,12966,12893,12893,12893
S425_CSP_1.fastq.gz,8317,6056,6055,6055,6055
S426_CSP_1.fastq.gz,15677,11041,10981,10981,10534
S427_CSP_1.fastq.gz,39062,29075,29006,29006,29006
S428_CSP_1.fastq.gz,20241,15042,14730,14730,12617
S429_CSP_1.fastq.gz,20553,15707,15443,15443,14140
S43_CSP_1.fastq.gz,1661,1162,1160,1160,1117
S430_CSP_1.fastq.gz,17,7,Removed,Removed,Removed
S431_CSP_1.fastq.gz,22268,16531,16531,16531,16531
S432_CSP_1.fastq.gz,18593,13615,13445,13445,12769
S433_CSP_1.fastq.gz,19720,15071,15041,15041,14797
S434_CSP_1.fastq.gz,9608,6545,6545,6545,6545
S435_CSP_1.fastq.gz,18803,14147,13780,13780,10568
S436_CSP_1.fastq.gz,20327,15285,15221,15221,13813
S437_CSP_1.fastq.gz,11961,8532,8531,8531,8531
S438_CSP_1.fastq.gz,9693,6955,6920,6920,6458
S439_CSP_1.fastq.gz,23605,17552,17297,17297,15332
S44_CSP_1.fastq.gz,7,4,Removed,Removed,Removed
S440_CSP_1.fastq.gz,15670,11702,11586,11586,9762
S441_CSP_1.fastq.gz,4955,3696,3658,3658,3658
S442_CSP_1.fastq.gz,21246,15742,15558,15558,14451
S443_CSP_1.fastq.gz,20327,14704,14645,14645,14645
S444_CSP_1.fastq.gz,16533,12242,11972,11972,10216
S445_CSP_1.fastq.gz,24146,18276,18271,18271,18255
S446_CSP_1.fastq.gz,5,3,Removed,Removed,Removed
S447_CSP_1.fastq.gz,15423,10759,10759,10759,10759
S448_CSP_1.fastq.gz,14574,10553,10552,10552,10552
S449_CSP_1.fastq.gz,4012,2711,2711,2711,2711
S45_CSP_1.fastq.gz,17795,13375,13375,13375,13375
S450_CSP_1.fastq.gz,11897,6471,6335,6335,6335
S451_CSP_1.fastq.gz,3710,2340,2338,2338,2338
S452_CSP_1.fastq.gz,12,8,Removed,Removed,Removed
S453_CSP_1.fastq.gz,12769,8721,8716,8716,8642
S454_CSP_1.fastq.gz,5,3,Removed,Removed,Removed
S455_CSP_1.fastq.gz,3,3,Removed,Removed,Removed
S456_CSP_1.fastq.gz,9427,6328,6327,6327,6327
S457_CSP_1.fastq.gz,22,15,Removed,Removed,Removed
S458_CSP_1.fastq.gz,5230,3743,3743,3743,3743
S459_CSP_1.fastq.gz,8,4,Removed,Removed,Removed
S46_CSP_1.fastq.gz,11318,8559,8502,8502,7621
S460_CSP_1.fastq.gz,6,2,Removed,Removed,Removed
S461_CSP_1.fastq.gz,3,0,Removed,Removed,Removed
S462_CSP_1.fastq.gz,9650,6391,6348,6348,5843
S463_CSP_1.fastq.gz,5061,3653,3653,3653,3653
S464_CSP_1.fastq.gz,3,1,Removed,Removed,Removed
S465_CSP_1.fastq.gz,1,0,Removed,Removed,Removed
S466_CSP_1.fastq.gz,13369,9095,9083,9083,9083
S467_CSP_1.fastq.gz,16935,11907,11680,11680,10831
S468_CSP_1.fastq.gz,5495,3867,3855,3855,3743
S469_CSP_1.fastq.gz,8,8,Removed,Removed,Removed
S47_CSP_1.fastq.gz,14856,10084,9949,9949,9075
S470_CSP_1.fastq.gz,11368,8611,8610,8610,8610
S471_CSP_1.fastq.gz,11850,8775,8618,8618,7581
S472_CSP_1.fastq.gz,5,5,Removed,Removed,Removed
S473_CSP_1.fastq.gz,10199,7433,7354,7354,6945
S474_CSP_1.fastq.gz,11074,7683,7642,7642,6717
S475_CSP_1.fastq.gz,11021,7680,7594,7594,6843
S476_CSP_1.fastq.gz,6,4,Removed,Removed,Removed
S477_CSP_1.fastq.gz,5,3,Removed,Removed,Removed
S478_CSP_1.fastq.gz,12701,9200,9000,9000,7113
S479_CSP_1.fastq.gz,1519,1114,1114,1114,1114
S48_CSP_1.fastq.gz,10,6,Removed,Removed,Removed
S480_CSP_1.fastq.gz,5431,4122,4120,4120,4120
S481_CSP_1.fastq.gz,12522,9176,9171,9171,9171
S482_CSP_1.fastq.gz,12332,8742,8731,8731,8623
S483_CSP_1.fastq.gz,7362,5395,5239,5239,4831
S484_CSP_1.fastq.gz,7947,5752,5634,5634,4650
S485_CSP_1.fastq.gz,10,5,Removed,Removed,Removed
S486_CSP_1.fastq.gz,18549,12821,12488,12488,9704
S487_CSP_1.fastq.gz,20909,15140,15140,15140,15140
S488_CSP_1.fastq.gz,13095,9408,9347,9347,8876
S489_CSP_1.fastq.gz,9243,6628,6610,6610,5915
S49_CSP_1.fastq.gz,24505,18249,18016,18016,15958
S490_CSP_1.fastq.gz,8,3,Removed,Removed,Removed
S491_CSP_1.fastq.gz,4,1,Removed,Removed,Removed
S492_CSP_1.fastq.gz,5643,3930,3930,3930,3930
S493_CSP_1.fastq.gz,8,2,Removed,Removed,Removed
S494_CSP_1.fastq.gz,10,6,Removed,Removed,Removed
S495_CSP_1.fastq.gz,5,3,Removed,Removed,Removed
S496_CSP_1.fastq.gz,17363,13013,12856,12856,12775
S497_CSP_1.fastq.gz,11,4,Removed,Removed,Removed
S498_CSP_1.fastq.gz,6,3,Removed,Removed,Removed
S499_CSP_1.fastq.gz,13318,9756,9510,9510,8598
