,reads.in,reads.out
S451_CSP_1.fastq.gz,3710,2340
S452_CSP_1.fastq.gz,12,8
S453_CSP_1.fastq.gz,12769,8721
S454_CSP_1.fastq.gz,5,3
S455_CSP_1.fastq.gz,3,3
S456_CSP_1.fastq.gz,9427,6328
S457_CSP_1.fastq.gz,22,15
S458_CSP_1.fastq.gz,5230,3743
S459_CSP_1.fastq.gz,8,4
S46_CSP_1.fastq.gz,11318,8559
S460_CSP_1.fastq.gz,6,2
S461_CSP_1.fastq.gz,3,0
S462_CSP_1.fastq.gz,9650,6391
S463_CSP_1.fastq.gz,5061,3653
S464_CSP_1.fastq.gz,3,1
S465_CSP_1.fastq.gz,1,0
S466_CSP_1.fastq.gz,13369,9095
S467_CSP_1.fastq.gz,16935,11907
S468_CSP_1.fastq.gz,5495,3867
S469_CSP_1.fastq.gz,8,8
S47_CSP_1.fastq.gz,14856,10084
S470_CSP_1.fastq.gz,11368,8611
S471_CSP_1.fastq.gz,11850,8775
S472_CSP_1.fastq.gz,5,5
S473_CSP_1.fastq.gz,10199,7433
S474_CSP_1.fastq.gz,11074,7683
S475_CSP_1.fastq.gz,11021,7680
S476_CSP_1.fastq.gz,6,4
S477_CSP_1.fastq.gz,5,3
S478_CSP_1.fastq.gz,12701,9200
S479_CSP_1.fastq.gz,1519,1114
S48_CSP_1.fastq.gz,10,6
S480_CSP_1.fastq.gz,5431,4122
S481_CSP_1.fastq.gz,12522,9176
S482_CSP_1.fastq.gz,12332,8742
S483_CSP_1.fastq.gz,7362,5395
S484_CSP_1.fastq.gz,7947,5752
S485_CSP_1.fastq.gz,10,5
S486_CSP_1.fastq.gz,18549,12821
S487_CSP_1.fastq.gz,20909,15140
S488_CSP_1.fastq.gz,13095,9408
S489_CSP_1.fastq.gz,9243,6628
S49_CSP_1.fastq.gz,24505,18249
S490_CSP_1.fastq.gz,8,3
S491_CSP_1.fastq.gz,4,1
S492_CSP_1.fastq.gz,5643,3930
S493_CSP_1.fastq.gz,8,2
S494_CSP_1.fastq.gz,10,6
S495_CSP_1.fastq.gz,5,3
S496_CSP_1.fastq.gz,17363,13013
S497_CSP_1.fastq.gz,11,4
S498_CSP_1.fastq.gz,6,3
S499_CSP_1.fastq.gz,13318,9756
S5_CSP_1.fastq.gz,13289,8814
S50_CSP_1.fastq.gz,26299,19314
S500_CSP_1.fastq.gz,6,4
S501_CSP_1.fastq.gz,7,2
S502_CSP_1.fastq.gz,12267,8670
S503_CSP_1.fastq.gz,6,3
S504_CSP_1.fastq.gz,2,2
S505_CSP_1.fastq.gz,10134,7803
S506_CSP_1.fastq.gz,4351,3248
S507_CSP_1.fastq.gz,16878,12164
S508_CSP_1.fastq.gz,20354,15007
S509_CSP_1.fastq.gz,20,9
S51_CSP_1.fastq.gz,8067,6049
S510_CSP_1.fastq.gz,17968,12266
S511_CSP_1.fastq.gz,9527,6873
S512_CSP_1.fastq.gz,13478,9917
S513_CSP_1.fastq.gz,21857,15163
S514_CSP_1.fastq.gz,45792,31714
S52_CSP_1.fastq.gz,10234,8032
S53_CSP_1.fastq.gz,11865,8581
S54_CSP_1.fastq.gz,16346,10083
S55_CSP_1.fastq.gz,12553,8891
S56_CSP_1.fastq.gz,23224,16580
S57_CSP_1.fastq.gz,26799,20281
S58_CSP_1.fastq.gz,12,7
S59_CSP_1.fastq.gz,18904,14298
S6_CSP_1.fastq.gz,14173,9939
S60_CSP_1.fastq.gz,17923,13325
S61_CSP_1.fastq.gz,4,2
S62_CSP_1.fastq.gz,21778,15945
S63_CSP_1.fastq.gz,15189,11203
S64_CSP_1.fastq.gz,5,2
S65_CSP_1.fastq.gz,8646,6007
S66_CSP_1.fastq.gz,31096,22742
S67_CSP_1.fastq.gz,11202,7695
S68_CSP_1.fastq.gz,16431,11340
S69_CSP_1.fastq.gz,24101,17918
S7_CSP_1.fastq.gz,10480,6987
S70_CSP_1.fastq.gz,20093,15094
S71_CSP_1.fastq.gz,35005,26019
S72_CSP_1.fastq.gz,18,11
S73_CSP_1.fastq.gz,27149,18804
S74_CSP_1.fastq.gz,8,4
S75_CSP_1.fastq.gz,8866,6499
S76_CSP_1.fastq.gz,6,3
S77_CSP_1.fastq.gz,15249,10844
S78_CSP_1.fastq.gz,13,6
S79_CSP_1.fastq.gz,2667,1814
S8_CSP_1.fastq.gz,9691,6774
S80_CSP_1.fastq.gz,12424,8456
S81_CSP_1.fastq.gz,30700,23001
S82_CSP_1.fastq.gz,20921,15448
S83_CSP_1.fastq.gz,19540,14410
S84_CSP_1.fastq.gz,11203,8144
S85_CSP_1.fastq.gz,10943,7327
S86_CSP_1.fastq.gz,26659,18490
S87_CSP_1.fastq.gz,27058,19229
S88_CSP_1.fastq.gz,30876,22925
S89_CSP_1.fastq.gz,6604,2375
S9_CSP_1.fastq.gz,19,6
S90_CSP_1.fastq.gz,4,1
S91_CSP_1.fastq.gz,27089,19469
S92_CSP_1.fastq.gz,5,3
S93_CSP_1.fastq.gz,7,5
S94_CSP_1.fastq.gz,10864,7394
S95_CSP_1.fastq.gz,13835,9560
S96_CSP_1.fastq.gz,5,5
S97_CSP_1.fastq.gz,8971,6216
S98_CSP_1.fastq.gz,9885,6646
S99_CSP_1.fastq.gz,5,2
