Sample,reads.in,reads.out,merged,tabled,nonchim
S287_HistB_1.fastq.gz,9820,6395,6179,6179,6179
S288_HistB_1.fastq.gz,4,3,Removed,Removed,Removed
S289_HistB_1.fastq.gz,13033,8051,7794,7794,7794
S29_HistB_1.fastq.gz,18958,12699,12271,12271,11500
S290_HistB_1.fastq.gz,8,2,Removed,Removed,Removed
S291_HistB_1.fastq.gz,4,3,Removed,Removed,Removed
S292_HistB_1.fastq.gz,17,10,Removed,Removed,Removed
S293_HistB_1.fastq.gz,13983,9383,9118,9118,8848
S294_HistB_1.fastq.gz,17326,13024,9074,9074,9074
S295_HistB_1.fastq.gz,19322,13048,12598,12598,12598
S296_HistB_1.fastq.gz,8,4,Removed,Removed,Removed
S297_HistB_1.fastq.gz,14200,9064,8737,8737,8737
S298_HistB_1.fastq.gz,31497,21038,20364,20364,20364
S299_HistB_1.fastq.gz,9,5,Removed,Removed,Removed
S3_HistB_1.fastq.gz,10492,5390,5223,5223,5223
S30_HistB_1.fastq.gz,31914,21365,20577,20577,20577
S300_HistB_1.fastq.gz,19838,14748,10147,10147,10071
S301_HistB_1.fastq.gz,11,4,Removed,Removed,Removed
S302_HistB_1.fastq.gz,18828,13002,12631,12631,11460
S303_HistB_1.fastq.gz,15179,11128,9354,9354,9351
S304_HistB_1.fastq.gz,6396,4814,4033,4033,4033
S305_HistB_1.fastq.gz,17460,12026,11638,11638,11638
S306_HistB_1.fastq.gz,15637,11696,8894,8894,8894
S307_HistB_1.fastq.gz,2,1,Removed,Removed,Removed
S308_HistB_1.fastq.gz,12390,8883,8537,8537,8537
S309_HistB_1.fastq.gz,13,2,Removed,Removed,Removed
S31_HistB_1.fastq.gz,25228,16171,15591,15591,15591
S310_HistB_1.fastq.gz,23569,16373,15730,15730,14938
S311_HistB_1.fastq.gz,2,2,Removed,Removed,Removed
S312_HistB_1.fastq.gz,3,1,Removed,Removed,Removed
S313_HistB_1.fastq.gz,17889,11811,11417,11417,11417
S314_HistB_1.fastq.gz,1205,835,827,827,827
S315_HistB_1.fastq.gz,3,1,Removed,Removed,Removed
S316_HistB_1.fastq.gz,21301,15014,14461,14461,14461
S317_HistB_1.fastq.gz,23082,15831,15359,15359,13517
S318_HistB_1.fastq.gz,32807,24572,16649,16649,12158
S319_HistB_1.fastq.gz,2268,1631,1624,1624,1624
S32_HistB_1.fastq.gz,22833,16969,11520,11520,11520
S320_HistB_1.fastq.gz,19333,13538,13124,13124,13124
S321_HistB_1.fastq.gz,11,9,Removed,Removed,Removed
S322_HistB_1.fastq.gz,8,1,Removed,Removed,Removed
S323_HistB_1.fastq.gz,8,5,Removed,Removed,Removed
S324_HistB_1.fastq.gz,9681,6313,6093,6093,6093
S325_HistB_1.fastq.gz,12509,8153,7900,7900,7900
S326_HistB_1.fastq.gz,6465,4563,4482,4482,4324
S327_HistB_1.fastq.gz,5171,3617,3527,3527,3527
S328_HistB_1.fastq.gz,2305,1764,1726,1726,1726
S329_HistB_1.fastq.gz,15504,10072,9737,9737,9737
S33_HistB_1.fastq.gz,20630,13690,13228,13228,13228
S330_HistB_1.fastq.gz,26,7,Removed,Removed,Removed
S331_HistB_1.fastq.gz,4,0,Removed,Removed,Removed
S332_HistB_1.fastq.gz,15512,10600,10254,10254,10254
S333_HistB_1.fastq.gz,22849,16316,11014,11014,11014
S334_HistB_1.fastq.gz,21528,15918,12143,12143,12143
S335_HistB_1.fastq.gz,25120,19472,13535,13535,13535
S336_HistB_1.fastq.gz,21846,16179,10962,10962,10962
S337_HistB_1.fastq.gz,26225,16786,16138,16138,15074
S338_HistB_1.fastq.gz,16019,12256,10032,10032,10032
S339_HistB_1.fastq.gz,15861,10850,10243,10243,10243
S34_HistB_1.fastq.gz,1067,752,747,747,747
S340_HistB_1.fastq.gz,21136,14710,14266,14266,14266
S341_HistB_1.fastq.gz,5,3,Removed,Removed,Removed
S342_HistB_1.fastq.gz,19251,12511,12091,12091,12091
S343_HistB_1.fastq.gz,9,4,Removed,Removed,Removed
S344_HistB_1.fastq.gz,25188,17582,16928,16928,16928
S345_HistB_1.fastq.gz,16622,11681,8116,8116,8116
S346_HistB_1.fastq.gz,15001,10487,9136,9136,7973
S347_HistB_1.fastq.gz,3,2,Removed,Removed,Removed
S348_HistB_1.fastq.gz,21970,14404,13762,13762,11465
S349_HistB_1.fastq.gz,16292,11002,7355,7355,7355
S35_HistB_1.fastq.gz,13291,9347,7964,7964,7964
S350_HistB_1.fastq.gz,6,3,Removed,Removed,Removed
S351_HistB_1.fastq.gz,2,1,Removed,Removed,Removed
S352_HistB_1.fastq.gz,5,1,Removed,Removed,Removed
S353_HistB_1.fastq.gz,1,1,Removed,Removed,Removed
S354_HistB_1.fastq.gz,27763,18060,17430,17430,17430
S355_HistB_1.fastq.gz,3,1,Removed,Removed,Removed
S356_HistB_1.fastq.gz,1,1,Removed,Removed,Removed
S357_HistB_1.fastq.gz,30,2,Removed,Removed,Removed
S358_HistB_1.fastq.gz,19074,12818,12427,12427,12427
S359_HistB_1.fastq.gz,20733,13477,13046,13046,13046
S36_HistB_1.fastq.gz,5,1,Removed,Removed,Removed
S360_HistB_1.fastq.gz,4229,2882,2811,2811,2811
S361_HistB_1.fastq.gz,22441,11114,10648,10648,9604
S362_HistB_1.fastq.gz,726,418,415,415,415
S363_HistB_1.fastq.gz,1664,1181,1137,1137,1137
S364_HistB_1.fastq.gz,10,6,Removed,Removed,Removed
S365_HistB_1.fastq.gz,28078,20116,13722,13722,13722
S366_HistB_1.fastq.gz,27436,17216,16496,16496,14330
S367_HistB_1.fastq.gz,21538,14790,14283,14283,14283
S368_HistB_1.fastq.gz,10287,7662,5377,5377,5377
S369_HistB_1.fastq.gz,8772,6756,5216,5216,5216
S37_HistB_1.fastq.gz,4,1,Removed,Removed,Removed
S370_HistB_1.fastq.gz,10,4,Removed,Removed,Removed
S371_HistB_1.fastq.gz,16751,11537,11165,11165,11165
S372_HistB_1.fastq.gz,8,4,Removed,Removed,Removed
S373_HistB_1.fastq.gz,26290,20512,14077,14077,14077
S374_HistB_1.fastq.gz,19877,12449,11955,11955,11756
S375_HistB_1.fastq.gz,16359,10973,10615,10615,10142
S376_HistB_1.fastq.gz,21024,15960,11178,11178,11178
S377_HistB_1.fastq.gz,11149,7845,6791,6791,6791
S378_HistB_1.fastq.gz,21239,14016,12761,12761,12761
S379_HistB_1.fastq.gz,6,3,Removed,Removed,Removed
S38_HistB_1.fastq.gz,1,0,Removed,Removed,Removed
S380_HistB_1.fastq.gz,17508,12539,10012,10012,10012
S381_HistB_1.fastq.gz,35241,23967,23190,23190,23190
S382_HistB_1.fastq.gz,19,13,Removed,Removed,Removed
S383_HistB_1.fastq.gz,33,17,Removed,Removed,Removed
S384_HistB_1.fastq.gz,39335,26499,25553,25553,25553
S385_HistB_1.fastq.gz,12,2,Removed,Removed,Removed
S386_HistB_1.fastq.gz,31,14,Removed,Removed,Removed
S387_HistB_1.fastq.gz,18845,13597,10536,10536,10536
S388_HistB_1.fastq.gz,20201,13889,12632,12632,12197
S389_HistB_1.fastq.gz,34,20,Removed,Removed,Removed
S39_HistB_1.fastq.gz,409,312,252,252,252
S390_HistB_1.fastq.gz,41799,27276,26336,26336,26336
S391_HistB_1.fastq.gz,28677,19558,18945,18945,18945
S392_HistB_1.fastq.gz,20203,13793,13377,13377,13377
S393_HistB_1.fastq.gz,15364,10687,10331,10331,10331
S394_HistB_1.fastq.gz,14412,10891,7571,7571,7571
S395_HistB_1.fastq.gz,21609,14541,14061,14061,14061
S396_HistB_1.fastq.gz,7,1,Removed,Removed,Removed
S397_HistB_1.fastq.gz,25907,17779,17150,17150,17150
S398_HistB_1.fastq.gz,9458,6638,4506,4506,4506
S399_HistB_1.fastq.gz,24609,16259,15725,15725,15725
S4_HistB_1.fastq.gz,6719,4386,4278,4278,4278
S40_HistB_1.fastq.gz,5,1,Removed,Removed,Removed
S400_HistB_1.fastq.gz,17244,11879,11505,11505,10721
S401_HistB_1.fastq.gz,19053,12546,12080,12080,12080
S402_HistB_1.fastq.gz,17817,11753,11345,11345,11345
S403_HistB_1.fastq.gz,6,2,Removed,Removed,Removed
S404_HistB_1.fastq.gz,12517,9422,7169,7169,7169
S405_HistB_1.fastq.gz,26905,18272,17621,17621,17621
S406_HistB_1.fastq.gz,28114,18669,18047,18047,15950
S407_HistB_1.fastq.gz,19831,12734,12306,12306,12306
S408_HistB_1.fastq.gz,9,5,Removed,Removed,Removed
S409_HistB_1.fastq.gz,10,4,Removed,Removed,Removed
S41_HistB_1.fastq.gz,6,4,Removed,Removed,Removed
S410_HistB_1.fastq.gz,12,4,Removed,Removed,Removed
S411_HistB_1.fastq.gz,14215,10040,7453,7453,7453
S412_HistB_1.fastq.gz,4836,2438,2370,2370,2370
S413_HistB_1.fastq.gz,13419,6231,5940,5940,5898
S414_HistB_1.fastq.gz,18398,8987,8645,8645,8645
S415_HistB_1.fastq.gz,33806,20731,19971,19971,19971
S416_HistB_1.fastq.gz,16444,11975,9082,9082,9082
S417_HistB_1.fastq.gz,22907,15902,15349,15349,15349
S418_HistB_1.fastq.gz,41682,28169,27099,27099,27099
S419_HistB_1.fastq.gz,29186,19786,19044,19044,19044
S42_HistB_1.fastq.gz,18901,13023,12600,12600,12600
S420_HistB_1.fastq.gz,4158,3108,2319,2319,2319
S421_HistB_1.fastq.gz,14371,10559,9465,9465,9465
S422_HistB_1.fastq.gz,20090,14253,9659,9659,9659
S423_HistB_1.fastq.gz,16057,10578,10251,10251,10251
S424_HistB_1.fastq.gz,25714,17881,17237,17237,17237
S425_HistB_1.fastq.gz,7863,5388,5221,5221,5221
S426_HistB_1.fastq.gz,12250,8845,6028,6028,6028
S427_HistB_1.fastq.gz,48037,33608,32446,32446,32446
S428_HistB_1.fastq.gz,38530,25436,24582,24582,21022
S429_HistB_1.fastq.gz,12737,9170,8932,8932,8932
S43_HistB_1.fastq.gz,1,1,Removed,Removed,Removed
S430_HistB_1.fastq.gz,12,4,Removed,Removed,Removed
S431_HistB_1.fastq.gz,24491,16591,15999,15999,15999
S432_HistB_1.fastq.gz,20599,15562,11771,11771,11771
S433_HistB_1.fastq.gz,21769,16962,11764,11764,11764
S434_HistB_1.fastq.gz,13045,9392,7014,7014,7014
S435_HistB_1.fastq.gz,14223,9980,9734,9734,9431
S436_HistB_1.fastq.gz,26463,18596,17875,17875,16210
S437_HistB_1.fastq.gz,12951,9729,6558,6558,6558
S438_HistB_1.fastq.gz,1280,945,786,786,786
S439_HistB_1.fastq.gz,19465,13501,13081,13081,12898
S44_HistB_1.fastq.gz,5,3,Removed,Removed,Removed
S440_HistB_1.fastq.gz,18523,12654,12261,12261,12063
S441_HistB_1.fastq.gz,5,2,Removed,Removed,Removed
S442_HistB_1.fastq.gz,27487,18504,17745,17745,17745
S443_HistB_1.fastq.gz,33272,22196,21211,21211,20210
S444_HistB_1.fastq.gz,20989,15534,12015,12015,12015
S445_HistB_1.fastq.gz,24428,18960,13123,13123,13123
S446_HistB_1.fastq.gz,8,2,Removed,Removed,Removed
S447_HistB_1.fastq.gz,20831,13481,13040,13040,13040
S448_HistB_1.fastq.gz,20649,13513,13068,13068,13068
S449_HistB_1.fastq.gz,4,3,Removed,Removed,Removed
S45_HistB_1.fastq.gz,20187,15289,10464,10464,10464
S450_HistB_1.fastq.gz,14801,8222,7656,7656,7656
S451_HistB_1.fastq.gz,7,1,Removed,Removed,Removed
S452_HistB_1.fastq.gz,7,3,Removed,Removed,Removed
S453_HistB_1.fastq.gz,18746,11579,11153,11153,11153
S454_HistB_1.fastq.gz,3,1,Removed,Removed,Removed
S455_HistB_1.fastq.gz,4,3,Removed,Removed,Removed
S456_HistB_1.fastq.gz,9364,5680,5516,5516,5516
S457_HistB_1.fastq.gz,6,3,Removed,Removed,Removed
S458_HistB_1.fastq.gz,7,4,Removed,Removed,Removed
S459_HistB_1.fastq.gz,6660,4226,4120,4120,4120
S46_HistB_1.fastq.gz,13580,10166,6853,6853,6249
S460_HistB_1.fastq.gz,3,2,Removed,Removed,Removed
S461_HistB_1.fastq.gz,7115,5454,4174,4174,4174
S462_HistB_1.fastq.gz,14326,9715,7188,7188,7188
S463_HistB_1.fastq.gz,6,4,Removed,Removed,Removed
S464_HistB_1.fastq.gz,1,1,Removed,Removed,Removed
S465_HistB_1.fastq.gz,3,1,Removed,Removed,Removed
S466_HistB_1.fastq.gz,20403,12405,11976,11976,11976
S467_HistB_1.fastq.gz,21942,14796,14163,14163,13907
S468_HistB_1.fastq.gz,10235,7004,5914,5914,5914
S469_HistB_1.fastq.gz,6971,4299,4186,4186,4186
S47_HistB_1.fastq.gz,18409,11364,10958,10958,10214
S470_HistB_1.fastq.gz,13067,9047,8793,8793,8793
S471_HistB_1.fastq.gz,14760,10717,8699,8699,8699
S472_HistB_1.fastq.gz,9786,6710,6530,6530,6530
S473_HistB_1.fastq.gz,13813,9121,8871,8871,8871
S474_HistB_1.fastq.gz,9402,6171,5392,5392,5392
S475_HistB_1.fastq.gz,13749,8480,8145,8145,8145
S476_HistB_1.fastq.gz,8335,5606,5429,5429,5429
S477_HistB_1.fastq.gz,7,2,Removed,Removed,Removed
S478_HistB_1.fastq.gz,21310,13759,13284,13284,12112
S479_HistB_1.fastq.gz,251,166,132,132,132
S48_HistB_1.fastq.gz,11,2,Removed,Removed,Removed
S480_HistB_1.fastq.gz,19379,13550,13136,13136,13136
S481_HistB_1.fastq.gz,18093,12479,12038,12038,12038
S482_HistB_1.fastq.gz,17549,11674,11270,11270,11270
S483_HistB_1.fastq.gz,11209,7620,7214,7214,6758
S484_HistB_1.fastq.gz,9607,6477,5868,5868,5868
S485_HistB_1.fastq.gz,10,6,Removed,Removed,Removed
S486_HistB_1.fastq.gz,19886,12654,11437,11437,10868
S487_HistB_1.fastq.gz,27150,19675,13704,13704,13704
S488_HistB_1.fastq.gz,17035,11475,11137,11137,11137
S489_HistB_1.fastq.gz,9779,6697,5873,5873,5873
S49_HistB_1.fastq.gz,26387,18517,17798,17798,16400
S490_HistB_1.fastq.gz,5,0,Removed,Removed,Removed
S491_HistB_1.fastq.gz,2,1,Removed,Removed,Removed
S492_HistB_1.fastq.gz,8,1,Removed,Removed,Removed
S493_HistB_1.fastq.gz,9,1,Removed,Removed,Removed
S494_HistB_1.fastq.gz,5,2,Removed,Removed,Removed
S495_HistB_1.fastq.gz,10,3,Removed,Removed,Removed
S496_HistB_1.fastq.gz,23284,16151,15538,15538,15538
S497_HistB_1.fastq.gz,9,6,Removed,Removed,Removed
S498_HistB_1.fastq.gz,8,3,Removed,Removed,Removed
S499_HistB_1.fastq.gz,12947,9032,7892,7892,7892
